"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"griewank"	"neumann_topology"	"inertia_weight"	"(1, 2)"	"0.000607572426429"	"0.000607572426429"	"[ 355.02960808  436.66302287]"	"0"	"10000"
"griewank"	"neumann_topology"	"pso_vanilla"	"(1, 2)"	"0.000738342502747"	"0.000738342502747"	"[-546.67545729  389.56018245]"	"382"	"10000"
"griewank"	"ring_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.000818471687551"	"0.000818471687551"	"[  56.57983877  175.90338645]"	"201"	"10000"
"griewank"	"full_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.000877081372278"	"0.000877081372278"	"[ 194.81652478 -238.77913109]"	"102"	"10000"
"griewank"	"neumann_topology"	"inertia_weight"	"(2, 1)"	"0.000976850470016"	"0.000976850470016"	"[-600.         -298.45211403]"	"79"	"10000"
"griewank"	"neumann_topology"	"pso_vanilla"	"(2, 1)"	"0.000977040322747"	"0.000977040322747"	"[-600.          160.22020586]"	"340"	"10000"
"griewank"	"neumann_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.000977550880801"	"0.000977550880801"	"[ 600.          355.00140563]"	"268"	"10000"
"griewank"	"neumann_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.000977893241835"	"0.000977893241835"	"[-600.          574.90979825]"	"394"	"10000"
"griewank"	"ring_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.000979136258387"	"0.000979136258387"	"[-442.96685223 -600.        ]"	"495"	"10000"
"griewank"	"ring_topology"	"constriction_factor"	"(0.01, 0.01)"	"0.000998025017325"	"0.000998025017325"	"[-600.         -574.91801685]"	"64"	"10000"
"griewank"	"neumann_topology"	"constriction_factor"	"(0.01, 0.01)"	"0.00105774853683"	"0.00105774853683"	"[-587.49057831 -600.        ]"	"49"	"10000"
"griewank"	"full_topology"	"pso_vanilla"	"(1, 2)"	"0.0019520887406"	"0.0019520887406"	"[-600. -600.]"	"1"	"10000"
"griewank"	"full_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.0019520887406"	"0.0019520887406"	"[-600.  600.]"	"2"	"10000"
"griewank"	"full_topology"	"inertia_weight"	"(1, 2)"	"0.0019520887406"	"0.0019520887406"	"[ 600. -600.]"	"1"	"10000"
"griewank"	"full_topology"	"constriction_factor"	"(0.01, 0.01)"	"0.0019520887406"	"0.0019520887406"	"[-600. -600.]"	"19"	"10000"
"griewank"	"neumann_topology"	"constriction_factor"	"(1, 2)"	"0.0041374971507"	"0.0041374971507"	"[ 44.01409314 -25.04746419]"	"103"	"10000"

"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"sphere"	"1"	"6"	"0.2"	"1.55017517813e-06"	"1.55017517813e-06"	"[ 0.00079007  0.00096227]"	"20"	"3662"
"sphere"	"1"	"3"	"3.0"	"2.57898374196e-06"	"2.57898374196e-06"	"[ -1.60589370e-03  -9.44259961e-06]"	"159"	"9634"
"sphere"	"5"	"4"	"0.2"	"4.9772210535e-06"	"4.9772210535e-06"	"[ 0.00048729 -0.0021771 ]"	"185"	"16895"
"sphere"	"1"	"5"	"1.0"	"9.90967724198e-05"	"9.90967724198e-05"	"[ 0.00292507 -0.00951529]"	"20"	"2559"
"sphere"	"1"	"7"	"0.5"	"0.00013846553702"	"0.00013846553702"	"[-0.01162444 -0.00182702]"	"142"	"13673"
"sphere"	"1"	"3"	"2.0"	"0.000685836853631"	"0.000685836853631"	"[-0.01111841  0.02371113]"	"39"	"3950"
"sphere"	"5"	"5"	"3.0"	"0.00094968030646"	"0.00094968030646"	"[ 0.00466735 -0.03046139]"	"23"	"2677"
"sphere"	"20"	"4"	"0.5"	"0.00113707246868"	"0.00113707246868"	"[ 0.01643621 -0.02944357]"	"38"	"3791"
"sphere"	"10"	"3"	"2.0"	"0.00124629956158"	"0.00124629956158"	"[ 0.03176484  0.01540437]"	"25"	"8488"
"sphere"	"10"	"5"	"3.0"	"0.00457721420056"	"0.00457721420056"	"[ 0.03637692  0.05704326]"	"24"	"3382"
"sphere"	"10"	"2"	"0.5"	"0.00574980991885"	"0.00574980991885"	"[ 0.03961175  0.06465848]"	"40"	"3559"
"sphere"	"5"	"6"	"1.0"	"0.00578227393297"	"0.00578227393297"	"[-0.06723486 -0.03552108]"	"66"	"4345"
"sphere"	"5"	"4"	"0.5"	"0.120384563476"	"0.120384563476"	"[-0.3464222  -0.01939645]"	"21"	"1538"
"sphere"	"20"	"1"	"1.0"	"0.146361380718"	"0.146361380718"	"[-0.27493898  0.2660262 ]"	"2"	"2311"
"sphere"	"5"	"5"	"2.0"	"0.16176570506"	"0.16176570506"	"[-0.27210249 -0.29618565]"	"54"	"5936"
"sphere"	"20"	"1"	"2.0"	"0.184893401885"	"0.184893401885"	"[-0.4180639 -0.1005782]"	"2"	"2087"
"sphere"	"20"	"1"	"3.0"	"0.263608510333"	"0.263608510333"	"[ 0.43779525  0.26822347]"	"2"	"1685"
"sphere"	"20"	"1"	"0.2"	"0.619665930551"	"0.619665930551"	"[ 0.5883198   0.52301601]"	"2"	"2517"
"sphere"	"10"	"2"	"0.2"	"4.22137801278"	"4.22137801278"	"[ 0.73695237  1.91788405]"	"2"	"871"
"sphere"	"10"	"1"	"1.0"	"5.07090324642"	"5.07090324642"	"[-0.4847283   2.19907747]"	"2"	"765"

"Function"	"Topology"	"PSO"	"Phi"	"Score"	"Error"	"Position"	"Iter"
"sphere"	"full_topology"	"inertia_weight"	"(0.01, 0.01)"	"1.03630758773e-22"	"1.03630758773e-22"	"[  7.52842602e-12   6.85226681e-12]"	"491"	"10000"
"sphere"	"full_topology"	"constriction_factor"	"(2.05, 2.05)"	"2.41334950636e-18"	"2.41334950636e-18"	"[ -1.52138470e-09  -3.14226214e-10]"	"263"	"10000"
"sphere"	"ring_topology"	"inertia_weight"	"(0.01, 0.01)"	"7.76019374881e-13"	"7.76019374881e-13"	"[ -1.67035847e-07  -8.64938380e-07]"	"499"	"10000"
"sphere"	"neumann_topology"	"constriction_factor"	"(2, 1)"	"1.30470769496e-09"	"1.30470769496e-09"	"[  4.29830238e-06   3.58640808e-05]"	"499"	"10000"
"sphere"	"full_topology"	"inertia_weight"	"(2, 1)"	"8.76764728024e-08"	"8.76764728024e-08"	"[-0.00018597 -0.00023042]"	"473"	"10000"
"sphere"	"neumann_topology"	"inertia_weight"	"(1, 2)"	"2.55384449517e-07"	"2.55384449517e-07"	"[ 0.00021594 -0.00045689]"	"455"	"10000"
"sphere"	"full_topology"	"constriction_factor"	"(1, 2)"	"6.49104594834e-07"	"6.49104594834e-07"	"[-0.0007073   0.00038579]"	"300"	"10000"
"sphere"	"full_topology"	"constriction_factor"	"(2, 1)"	"8.50003706007e-07"	"8.50003706007e-07"	"[ 0.00052265 -0.0007595 ]"	"492"	"10000"
"sphere"	"full_topology"	"inertia_weight"	"(1, 2)"	"2.79966411216e-06"	"2.79966411216e-06"	"[ 0.00104152  0.00130954]"	"447"	"10000"
"sphere"	"neumann_topology"	"constriction_factor"	"(2.05, 2.05)"	"1.12168836701e-05"	"1.12168836701e-05"	"[-0.00270126  0.00197992]"	"476"	"10000"
"sphere"	"neumann_topology"	"inertia_weight"	"(2, 1)"	"2.61525906813e-05"	"2.61525906813e-05"	"[ 0.00019878 -0.0051101 ]"	"473"	"10000"
"sphere"	"ring_topology"	"constriction_factor"	"(2, 1)"	"3.60120098788e-05"	"3.60120098788e-05"	"[-0.00336342 -0.00496985]"	"499"	"10000"
"sphere"	"ring_topology"	"constriction_factor"	"(1, 2)"	"8.61714241722e-05"	"8.61714241722e-05"	"[-0.00237421 -0.0089741 ]"	"499"	"10000"
"sphere"	"ring_topology"	"inertia_weight"	"(2, 1)"	"9.75984273415e-05"	"9.75984273415e-05"	"[ 0.0082475  0.0054385]"	"484"	"10000"
"sphere"	"neumann_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.000689733821219"	"0.000689733821219"	"[-0.0137041   0.02240382]"	"239"	"10000"
"sphere"	"full_topology"	"pso_vanilla"	"(1, 2)"	"0.00216703810141"	"0.00216703810141"	"[ 0.03037126  0.03527924]"	"443"	"10000"
