"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"rosenbrok"	"neumann_topology"	"constriction_factor"	"(0.01, 0.01)"	"1.28821160839"	"1.28821160839"	"[ 1.62034732  2.72057178]"	"75"	"10000"
"rosenbrok"	"ring_topology"	"constriction_factor"	"(0.01, 0.01)"	"1.73643375612"	"1.73643375612"	"[ 1.15652525  1.46839154]"	"14"	"10000"

"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"rastrigin"	"10"	"3"	"3.0"	"1.46113201538e-07"	"1.46113201538e-07"	"[ -8.96399544e-06   2.56151091e-05]"	"37"	"6652"
"rastrigin"	"1"	"5"	"0.5"	"1.05620211954e-06"	"1.05620211954e-06"	"[ -7.26734951e-05  -6.50960017e-06]"	"161"	"16902"
"rastrigin"	"5"	"6"	"2.0"	"0.000117655617586"	"0.000117655617586"	"[ 0.00076173 -0.00011323]"	"80"	"12581"
"rastrigin"	"1"	"5"	"2.0"	"0.00011993064161"	"0.00011993064161"	"[-0.00056823  0.00053069]"	"64"	"4837"
"rastrigin"	"1"	"5"	"0.2"	"0.000468582612413"	"0.000468582612413"	"[ 0.00023791  0.00151833]"	"51"	"5284"
"rastrigin"	"5"	"7"	"0.5"	"0.00108689742312"	"0.00108689742312"	"[ 0.00104284  0.00209549]"	"143"	"13286"
"rastrigin"	"5"	"4"	"0.2"	"0.00121584609432"	"0.00121584609432"	"[-0.00098086 -0.00227299]"	"226"	"15236"
"rastrigin"	"10"	"5"	"0.2"	"0.00743522204305"	"0.00743522204305"	"[-0.0033575 -0.0051193]"	"124"	"10394"
"rastrigin"	"1"	"5"	"1.0"	"0.0170974147581"	"0.0170974147581"	"[-0.0091908  -0.00131624]"	"78"	"7700"
"rastrigin"	"1"	"3"	"3.0"	"0.0248791877488"	"0.0248791877488"	"[ 0.00546585  0.00977555]"	"26"	"9930"
"rastrigin"	"20"	"1"	"0.2"	"0.0741662408123"	"0.0741662408123"	"[-0.00142353  0.01929414]"	"2"	"2157"
"rastrigin"	"20"	"2"	"0.5"	"0.211229836761"	"0.211229836761"	"[-0.00844021 -0.03157113]"	"61"	"5866"
"rastrigin"	"20"	"1"	"2.0"	"0.302195929402"	"0.302195929402"	"[-0.03171036 -0.02284458]"	"2"	"2231"
"rastrigin"	"5"	"1"	"3.0"	"0.416011091768"	"0.416011091768"	"[-0.00521754 -0.04564941]"	"2"	"142"
"rastrigin"	"10"	"1"	"1.0"	"0.631472895253"	"0.631472895253"	"[-0.04132789  0.03862327]"	"2"	"623"
"rastrigin"	"20"	"2"	"1.0"	"0.644248761579"	"0.644248761579"	"[ 0.04159358 -0.03917646]"	"2"	"2150"
"rastrigin"	"10"	"1"	"0.5"	"0.808217716198"	"0.808217716198"	"[ 0.02308155 -0.05986531]"	"2"	"597"
"rastrigin"	"20"	"1"	"3.0"	"0.851442138971"	"0.851442138971"	"[-0.06512479  0.01044356]"	"2"	"2001"
"rastrigin"	"5"	"2"	"1.0"	"0.994965090351"	"0.994965090351"	"[  1.10447949e-04  -9.94823651e-01]"	"24"	"2442"
"rastrigin"	"10"	"1"	"2.0"	"0.997986437045"	"0.997986437045"	"[ 0.99844675  0.00175967]"	"2"	"817"

"Function"	"Topology"	"PSO"	"Phi"	"Score"	"Error"	"Position"	"Iter"
"rastrigin"	"full_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.0"	"0.0"	"[  3.00629513e-09  -1.29034469e-09]"	"351"	"10000"
"rastrigin"	"full_topology"	"inertia_weight"	"(2, 1)"	"1.49323266641e-07"	"1.49323266641e-07"	"[  2.43879359e-05  -1.25656680e-05]"	"325"	"10000"
"rastrigin"	"full_topology"	"inertia_weight"	"(1, 2)"	"6.88665402038e-07"	"6.88665402038e-07"	"[  2.71688827e-05  -5.22789256e-05]"	"441"	"10000"
"rastrigin"	"neumann_topology"	"inertia_weight"	"(2, 1)"	"3.46728680611e-06"	"3.46728680611e-06"	"[  1.70614761e-05  -1.31094805e-04]"	"351"	"10000"
"rastrigin"	"ring_topology"	"inertia_weight"	"(1, 2)"	"2.65448064596e-05"	"2.65448064596e-05"	"[-0.0003187   0.00017954]"	"434"	"10000"
"rastrigin"	"full_topology"	"pso_vanilla"	"(0.01, 0.01)"	"4.08823448161e-05"	"4.08823448161e-05"	"[-0.00017775  0.0004177 ]"	"368"	"10000"
"rastrigin"	"ring_topology"	"inertia_weight"	"(2, 1)"	"4.10445106382e-05"	"4.10445106382e-05"	"[-0.00042493 -0.00016224]"	"459"	"10000"
"rastrigin"	"neumann_topology"	"inertia_weight"	"(1, 2)"	"6.95430742006e-05"	"6.95430742006e-05"	"[-0.00046738 -0.00036344]"	"474"	"10000"
"rastrigin"	"ring_topology"	"inertia_weight"	"(0.01, 0.01)"	"7.31933108469e-05"	"7.31933108469e-05"	"[ 0.0003843  -0.00047037]"	"497"	"10000"
"rastrigin"	"full_topology"	"constriction_factor"	"(1, 2)"	"8.91360158057e-05"	"8.91360158057e-05"	"[  6.63839900e-04   9.27869263e-05]"	"489"	"10000"
"rastrigin"	"ring_topology"	"constriction_factor"	"(1, 2)"	"0.000695161436102"	"0.000695161436102"	"[-0.00144842  0.00118578]"	"499"	"10000"
"rastrigin"	"neumann_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.000841684063634"	"0.000841684063634"	"[-0.00097901  0.00181221]"	"193"	"10000"
"rastrigin"	"full_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00318700326151"	"0.00318700326151"	"[ 0.00282492  0.00284331]"	"419"	"10000"
"rastrigin"	"ring_topology"	"pso_vanilla"	"(2, 1)"	"0.00910202919559"	"0.00910202919559"	"[ 0.00558235 -0.00383669]"	"115"	"10000"
"rastrigin"	"ring_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.0102396866421"	"0.0102396866421"	"[ 0.00626253  0.00352131]"	"370"	"10000"
"rastrigin"	"neumann_topology"	"pso_vanilla"	"(2, 1)"	"0.0163529520528"	"0.0163529520528"	"[ 0.0002803  -0.00907585]"	"183"	"10000"
"rastrigin"	"ring_topology"	"pso_vanilla"	"(1, 2)"	"0.0241797585267"	"0.0241797585267"	"[-0.004496   -0.01008463]"	"310"	"10000"
"rastrigin"	"full_topology"	"pso_vanilla"	"(1, 2)"	"0.0246190746466"	"0.0246190746466"	"[ 0.00677942 -0.00884078]"	"257"	"10000"
"rastrigin"	"full_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.0307371473809"	"0.0307371473809"	"[-0.01237823 -0.00133704]"	"361"	"10000"
"rastrigin"	"neumann_topology"	"constriction_factor"	"(1, 2)"	"0.0724731294407"	"0.0724731294407"	"[-0.00434648 -0.01862271]"	"226"	"10000"
"rastrigin"	"ring_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.188937860955"	"0.188937860955"	"[-0.01560277  0.0266598 ]"	"10"	"10000"
"rastrigin"	"neumann_topology"	"pso_vanilla"	"(1, 2)"	"0.258402022496"	"0.258402022496"	"[-0.02404619  0.02696451]"	"222"	"10000"
"rastrigin"	"ring_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.261472738676"	"0.261472738676"	"[-0.03529534 -0.00879143]"	"462"	"10000"
"rastrigin"	"neumann_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.792102202256"	"0.792102202256"	"[ 0.06268169  0.0106737 ]"	"407"	"10000"
"rastrigin"	"full_topology"	"pso_vanilla"	"(2, 1)"	"0.873395929675"	"0.873395929675"	"[-0.01710676 -0.06454863]"	"111"	"10000"
"rastrigin"	"neumann_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.994959078955"	"0.994959078955"	"[ -9.99007654e-06  -9.94955413e-01]"	"470"	"10000"
"rastrigin"	"full_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.995612656015"	"0.995612656015"	"[-0.99395182  0.00151043]"	"38"	"10000"
"rastrigin"	"ring_topology"	"constriction_factor"	"(2.05, 2.05)"	"1.0838346267"	"1.0838346267"	"[-0.98140694 -0.01627657]"	"103"	"10000"
"rastrigin"	"full_topology"	"constriction_factor"	"(2, 1)"	"1.10815661211"	"1.10815661211"	"[-0.02008233  1.00791392]"	"77"	"10000"
"rastrigin"	"full_topology"	"constriction_factor"	"(0.01, 0.01)"	"1.13932581065"	"1.13932581065"	"[ 0.01604533  1.01665505]"	"17"	"10000"
"rastrigin"	"neumann_topology"	"pso_vanilla"	"(2.05, 2.05)"	"1.19339412539"	"1.19339412539"	"[-0.02855425  0.9812684 ]"	"74"	"10000"
"rastrigin"	"neumann_topology"	"constriction_factor"	"(2, 1)"	"1.41053406487"	"1.41053406487"	"[-0.98611795 -0.04505682]"	"36"	"10000"
"rastrigin"	"neumann_topology"	"constriction_factor"	"(2.05, 2.05)"	"1.43667375197"	"1.43667375197"	"[ 0.04632444 -0.98517651]"	"119"	"10000"
"rastrigin"	"ring_topology"	"constriction_factor"	"(2, 1)"	"2.38867757625"	"2.38867757625"	"[-1.07849614 -0.01304069]"	"24"	"10000"
"rastrigin"	"neumann_topology"	"constriction_factor"	"(0.01, 0.01)"	"2.41000653153"	"2.41000653153"	"[ 1.03855259 -1.0099378 ]"	"13"	"10000"
"rastrigin"	"ring_topology"	"constriction_factor"	"(0.01, 0.01)"	"4.12111449166"	"4.12111449166"	"[ 0.91865811 -1.06655811]"	"33"	"10000"

