Function	Topology	PSO	Phi	Error	Position	Iter
sphere	neumann_topology	main	(2, 1)	0.0006454563	[ 0.00056475 -0.02539955]	282
sphere	neumann_topology	main	(0.01, 0.01)	0.0018435023	[ 0.00091465 -0.04292628]	415
sphere	ring_topology	main	(2.05, 2.05)	0.003602229	[-0.02816703 -0.05299856]	298
sphere	full_topology	main	(1, 2)	0.0067837925	[ 0.0328299  0.075538 ]	475
sphere	full_topology	main	(2, 1)	0.007467569	[-0.07591844  0.04127905]	40
sphere	full_topology	main	(2.05, 2.05)	0.0177478382	[-0.06341258 -0.11716093]	1
sphere	ring_topology	main	(1, 2)	0.041838499	[ 0.08843081  0.18444102]	161
sphere	ring_topology	main	(2, 1)	0.0425065933	[ 0.14661654 -0.1449489 ]	50
sphere	neumann_topology	main	(1, 2)	0.0489794479	[ 0.15844411 -0.15451508]	72
sphere	neumann_topology	main	(2.05, 2.05)	0.1622575236	[ 0.37168534 -0.155266  ]	6
sphere	neumann_topology	constriction_factor	(0.01, 0.01)	0.1944890507	[-0.34323753  0.2769062 ]	64
sphere	ring_topology	constriction_factor	(0.01, 0.01)	0.6646129019	[ 0.43279219 -0.69087178]	13
sphere	full_topology	constriction_factor	(0.01, 0.01)	0.7409520378	[-0.66812035 -0.54274049]	49
						
rosenbrok	full_topology	inertia_weight	(0.01, 0.01)	1.9157360126E-023	[ 1.  1.]	497
rosenbrok	neumann_topology	inertia_weight	(0.01, 0.01)	2.66652081437E-016	[ 1.00000001  1.00000003]	479
rosenbrok	full_topology	inertia_weight	(2, 1)	2.1637068698E-008	[ 1.0001203   1.00023215]	253
rosenbrok	neumann_topology	inertia_weight	(2, 1)	2.57185263495E-008	[ 0.99985143  0.99970892]	445
rosenbrok	full_topology	inertia_weight	(1, 2)	5.9418325879E-008	[ 1.00020357  1.00042059]	496
rosenbrok	full_topology	main	(0.01, 0.01)	6.53663793575E-007	[ 1.00064909  1.0013468 ]	473
rosenbrok	ring_topology	inertia_weight	(2, 1)	6.77307068275E-007	[ 0.99935361  0.9986567 ]	493
